Date	Open	High	Low	Close	Change (Pips)	Change (%)
Dec 02, 2015 00:00	6414.7	6447.3	6371.5	6394.1	-20.6	-0.32%
Dec 01, 2015 00:00	6368.8	6423.8	6365	6415.1	+46.3	+0.72%
Nov 30, 2015 00:00	6366.9	6388.3	6328.3	6369	+2.1	+0.03%
Nov 27, 2015 00:00	6380	6389.8	6343.8	6371.3	-8.7	-0.14%
Nov 26, 2015 00:00	6339.3	6400.3	6332	6379.6	+40.3	+0.63%
Nov 25, 2015 00:00	6295.9	6348.3	6287	6343.3	+47.4	+0.75%
Nov 24, 2015 00:00	6285.3	6313	6219.8	6293.7	+8.4	+0.13%
Nov 23, 2015 00:00	6306.8	6327.8	6264.8	6285.5	-21.3	-0.34%
Nov 20, 2015 00:00	6332.9	6361.8	6305.8	6311.1	-21.8	-0.35%
Nov 19, 2015 00:00	6293.4	6367.8	6288.8	6333.1	+39.7	+0.63%
Nov 18, 2015 00:00	6263.4	6316.3	6227.3	6299.2	+35.8	+0.57%
Nov 17, 2015 00:00	6222.8	6280.3	6208.9	6263.6	+40.8	+0.65%
Nov 16, 2015 00:00	6058.8	6233	6010.4	6225.2	+166.4	+2.67%
Nov 13, 2015 00:00	6144.1	6164.8	6087.5	6099.8	-44.3	-0.73%
Nov 12, 2015 00:00	6276.7	6302.3	6136.5	6139.5	-137.2	-2.23%
Nov 11, 2015 00:00	6282.3	6327.3	6270.5	6281.5	-0.8	-0.01%
Nov 10, 2015 00:00	6304.4	6329.3	6247.8	6283.1	-21.3	-0.34%
Nov 09, 2015 00:00	6372.9	6381.8	6277.3	6306.2	-66.7	-1.06%
Nov 06, 2015 00:00	6375.1	6396.3	6330.8	6372.5	-2.6	-0.04%
Nov 05, 2015 00:00	6404.5	6422.8	6356	6375.9	-28.6	-0.45%
Nov 04, 2015 00:00	6395.3	6459.8	6385.1	6404.3	+9.0	+0.14%
Nov 03, 2015 00:00	6378.6	6412.8	6343.3	6395.7	+17.1	+0.27%
Nov 02, 2015 00:00	6341.3	6402.8	6310.1	6377.4	+36.1	+0.57%
Oct 30, 2015 00:00	6392.1	6415.3	6335.8	6344.3	-47.8	-0.75%
Oct 29, 2015 00:00	6452.3	6452.3	6356.3	6393.8	-58.5	-0.91%
